2021-11-11 15:13:58,736 - robot.logger - INFO - drl_robot\20211111201358 vs. random_bot, self_play=True
2021-11-11 15:13:59,673 - robot.logger - INFO - 
[[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.  ]
 [-0.05 -0.06  0.   -0.02  0.16  0.06  0.04 -0.06  0.13  0.07]
 [-0.06 -0.02 -0.02 -0.03  0.09  0.   -0.01 -0.05  0.03  0.02]
 [-0.07 -0.05 -0.01 -0.01  0.13  0.02 -0.06 -0.08  0.08  0.12]
 [-0.06  0.01  0.05 -0.05  0.03  0.01  0.03 -0.04  0.05 -0.  ]
 [-0.03 -0.01  0.02 -0.05  0.08  0.01  0.03 -0.08  0.08 -0.01]
 [-0.06 -0.03  0.01 -0.03  0.05  0.02  0.03 -0.02  0.04  0.  ]
 [-0.08 -0.02 -0.07 -0.06  0.13 -0.02  0.03 -0.06  0.04 -0.01]]
2021-11-11 15:14:00,089 - robot.logger - INFO - episode: 1/1000, score =  1 -  2 = -1, e: 1.000, average_score: -0.01, average_reward: -0.014, play: 0.4 s., train: 0.0 s.
2021-11-11 15:14:01,253 - robot.logger - INFO - episode: 2/1000, score =  2 -  1 =  1, e: 0.990, average_score: 0.00, average_reward: -0.026, play: 0.4 s., train: 0.7 s.
2021-11-11 15:14:01,759 - robot.logger - INFO - episode: 3/1000, score =  0 -  0 =  0, e: 0.980, average_score: 0.00, average_reward: -0.039, play: 0.4 s., train: 0.1 s.
2021-11-11 15:14:02,295 - robot.logger - INFO - episode: 4/1000, score =  0 -  3 = -3, e: 0.970, average_score: -0.03, average_reward: -0.046, play: 0.4 s., train: 0.1 s.
2021-11-11 15:14:02,908 - robot.logger - INFO - episode: 5/1000, score =  1 -  1 =  0, e: 0.961, average_score: -0.03, average_reward: -0.056, play: 0.5 s., train: 0.1 s.
2021-11-11 15:14:03,471 - robot.logger - INFO - episode: 6/1000, score =  3 -  1 =  2, e: 0.951, average_score: -0.01, average_reward: -0.066, play: 0.5 s., train: 0.1 s.
2021-11-11 15:14:04,058 - robot.logger - INFO - episode: 7/1000, score =  3 -  2 =  1, e: 0.941, average_score: 0.00, average_reward: -0.071, play: 0.5 s., train: 0.1 s.
2021-11-11 15:14:04,783 - robot.logger - INFO - episode: 8/1000, score =  2 -  2 =  0, e: 0.932, average_score: 0.00, average_reward: -0.080, play: 0.5 s., train: 0.2 s.
2021-11-11 15:14:05,740 - robot.logger - INFO - episode: 9/1000, score =  3 -  3 =  0, e: 0.923, average_score: 0.00, average_reward: -0.087, play: 0.8 s., train: 0.1 s.
2021-11-11 15:14:06,354 - robot.logger - INFO - episode: 10/1000, score =  4 -  1 =  3, e: 0.914, average_score: 0.03, average_reward: -0.095, play: 0.5 s., train: 0.1 s.
2021-11-11 15:14:06,988 - robot.logger - INFO - episode: 11/1000, score =  2 -  1 =  1, e: 0.904, average_score: 0.04, average_reward: -0.104, play: 0.5 s., train: 0.1 s.
